### Footprint positions - created on 2026-03-29T09:04:22+0500 ###
### Printed by KiCad version 9.0.7
## Unit = inches, Angle = deg.
## Side : All
# Ref        Val                                  Package                              PosX       PosY       Rot  Side
C112         0.47uF                               C0201                              3.1461    -2.3582  135.0000  top
C113         0.47uF                               C0201                              3.1641    -2.3400  135.0000  top
C114         10nF                                 C0201                              9.8285    -1.8541  135.0000  top
C115         10nF                                 C0201                             10.0229    -1.2488  -135.0000  top
C116         10nF                                 C0201                              9.8317    -4.8494  135.0000  top
C117         10nF                                 C0201                             10.0290    -4.2467  -135.0000  top
C118         10nF                                 C0201                              9.4153    -4.0562  -45.0000  top
C119         10nF                                 C0201                              9.2199    -4.6456   45.0000  top
C120         10nF                                 C0201                              6.8363    -4.8480  135.0000  top
C121         10nF                                 C0201                              7.0404    -4.2470  -135.0000  top
C122         10nF                                 C0201                              6.4323    -4.0478  -45.0000  top
C123         10nF                                 C0201                              6.2282    -4.6492   45.0000  top
C124         100pF                                C0201                              7.1407    -0.8269  135.0000  top
C125         0.1uF                                C0201                              7.1620    -0.8056  135.0000  top
C126         1pF                                  C0201                              6.0901    -1.9489  -45.0000  top
C127         32.8pF                               C0201                              3.7689    -1.6253  -90.0000  top
C128         1pF                                  C0201                              6.2114    -2.0705  -45.0000  top
C129         1pF                                  C0201                              6.2193    -1.9257   45.0000  top
C130         100pF                                C0201                              7.2161    -2.0273  -135.0000  top
C131         0.1uF                                C0201                              7.2356    -2.0459  -135.0000  top
C132         100pF                                C0201                              7.2765    -1.9766   45.0000  top
C133         0.1uF                                C0201                              7.2964    -1.9934   45.0000  top
C134         1pF                                  C0201                              7.1260    -2.0033   45.0000  top
C135         1pF                                  C0201                              7.2485    -1.8809   45.0000  top
C136         1pF                                  C0201                              7.1036    -1.8734  135.0000  top
C137         100pF                                C0201                              6.0627    -2.0382  135.0000  top
C138         0.1uF                                C0201                              6.0441    -2.0577  135.0000  top
C139         100pF                                C0201                              6.1228    -2.0924  -45.0000  top
C140         0.1uF                                C0201                              6.0981    -2.1162  -45.0000  top
C141         106pF                                C0201                              3.8256    -1.6253  -90.0000  top
C142         1pF                                  C0201                              7.1780    -0.9690  135.0000  top
C143         1pF                                  C0201                              7.0564    -0.8467  135.0000  top
C144         1pF                                  C0201                              7.0500    -0.9875  -135.0000  top
C145         100pF                                C0201                              9.0419    -0.8845   45.0000  top
C146         0.1uF                                C0201                              9.0220    -0.8662   45.0000  top
C147         100pF                                C0201                              8.9893    -0.9469  -135.0000  top
C148         0.1uF                                C0201                              8.9698    -0.9297  -135.0000  top
C149         1pF                                  C0201                              9.1354    -0.9112  -135.0000  top
C150         1pF                                  C0201                              9.0119    -1.0354  -135.0000  top
C151         1pF                                  C0201                              9.1504    -1.0344  -45.0000  top
C152         100pF                                C0201                              7.2503    -3.8341  -45.0000  top
C153         4.7uF                                C0201                              2.2532    -2.3886  -135.0000  top
C154         4.7uF                                C0201                              2.2713    -2.4067  -135.0000  top
C155         0.47uF                               C0201                              2.2353    -2.3707  -135.0000  top
C156         0.47uF                               C0201                              2.2177    -2.3534  -135.0000  top
C157         0.47uF                               C0201                              2.1995    -2.3355  -135.0000  top
C158         0.47uF                               C0201                              2.1820    -2.3168  -135.0000  top
C159         22µF                                 C1206                              0.7855   -12.7698    0.0000  top
C160         0.1uF                                C0201                              7.2596    -5.0612  -135.0000  top
C161         100pF                                C0201                              7.1942    -3.7760  135.0000  top
C162         0.1uF                                C0201                              7.3117    -5.0017   45.0000  top
C163         1pF                                  C0201                              9.0697    -1.9551  -45.0000  top
C164         2.2uF                                C0201                              4.4741    -5.8084   90.0000  top
C165         1pF                                  C0201                              9.1905    -2.0770  -45.0000  top
C166         1pF                                  C0201                              9.1996    -1.9364   45.0000  top
C167         100pF                                C0201                              7.2708    -3.8152  -45.0000  top
C168         0.1uF                                C0201                              6.0087    -5.0853  135.0000  top
C169         100pF                                C0201                              7.2131    -3.7595  135.0000  top
C170         0.1uF                                C0201                              6.0902    -5.1240  -45.0000  top
C171         1pF                                  C0201                             10.1434    -2.0298   45.0000  top
C172         1pF                                  C0201                             10.2653    -1.9092   45.0000  top
C173         1pF                                  C0201                             10.1016    -1.8789  135.0000  top
C174         100pF                                C0201                              7.2393    -5.0433  -135.0000  top
C175         0.1uF                                C0201                              6.0276    -5.0688  135.0000  top
C176         47uF                                 C0201                              3.1947    -3.1549    0.0000  top
C177         4.7uF                                C0201                              3.1947    -3.2055    0.0000  top
C178         4.7uF                                C0201                              3.1947    -3.1789    0.0000  top
C179         0.47uF                               C0201                              3.1945    -3.2309    0.0000  top
C180         0.47uF                               C0201                              3.1937    -3.2584    0.0000  top
C181         0.47uF                               C0201                              3.1939    -3.2810    0.0000  top
C182         0.47uF                               C0201                              3.1941    -3.3047    0.0000  top
C183         100pF                                C0201                              7.2926    -4.9841   45.0000  top
C184         10µF                                 C0805                              0.9922   -12.7698    0.0000  top
C185         100nF                                C0402                              0.7461   -12.9824    0.0000  top
C186         1nF                                  C0402                              0.9922   -12.9824    0.0000  top
C196         0.1uF                                C0201                              6.0712    -5.1444  -45.0000  top
C197         1pF                                  C0201                             10.1870    -0.9495  135.0000  top
C198         1pF                                  C0201                             10.0639    -0.8270  135.0000  top
C199         1pF                                  C0201                             10.0520    -0.9777  -135.0000  top
C200         100pF                                C0201                              9.0013    -3.8376   45.0000  top
C201         0.1uF                                C0201                             10.2219    -5.0368  -135.0000  top
C202         100pF                                C0201                              8.9433    -3.8954  -135.0000  top
C203         0.1uF                                C0201                             10.2825    -4.9789   45.0000  top
C204         1pF                                  C0201                             10.1374    -5.0169   45.0000  top
C205         1pF                                  C0201                             10.2584    -4.8960   45.0000  top
C206         1pF                                  C0201                             10.1016    -4.8710  135.0000  top
C207         100pF                                C0201                              8.9824    -3.8210   45.0000  top
C208         0.1uF                                C0201                             10.2408    -5.0533  -135.0000  top
C209         100pF                                C0201                              8.9228    -3.8765  -135.0000  top
C210         0.1uF                                C0201                             10.3030    -4.9978   45.0000  top
C211         1pF                                  C0201                             10.1899    -3.9390  135.0000  top
C212         1pF                                  C0201                             10.0685    -3.8175  135.0000  top
C213         1pF                                  C0201                             10.0540    -3.9679  -135.0000  top
C214         100pF                                C0201                             10.2154    -3.8494  -45.0000  top
C215         0.1uF                                C0201                              9.0248    -5.0708  135.0000  top
C216         100pF                                C0201                             10.1584    -3.7922  135.0000  top
C217         0.1uF                                C0201                              9.0701    -5.1464  -45.0000  top
C218         1pF                                  C0201                              9.0912    -3.8597  -135.0000  top
C219         1pF                                  C0201                              8.9679    -3.9818  -135.0000  top
C220         1pF                                  C0201                              9.1406    -4.0186  -45.0000  top
C221         100pF                                C0201                             10.2358    -3.8305  -45.0000  top
C222         0.1uF                                C0201                              9.0083    -5.0858  135.0000  top
C223         100pF                                C0201                             10.1773    -3.7718  135.0000  top
C224         0.1uF                                C0201                              9.0867    -5.1275  -45.0000  top
C225         1pF                                  C0201                              9.0508    -4.9822  -45.0000  top
C226         1pF                                  C0201                              9.1723    -5.1034  -45.0000  top
C227         1pF                                  C0201                              9.1937    -4.9364   45.0000  top
C228         100pF                                C0201                             10.2505    -2.0710  -135.0000  top
C229         0.1uF                                C0201                              9.0472    -2.0407  135.0000  top
C230         100pF                                C0201                              9.1028    -2.1004  -45.0000  top
C231         0.1uF                                C0201                              9.0832    -2.1175  -45.0000  top
C232         1pF                                  C0201                              7.1488    -5.0210   45.0000  top
C233         1pF                                  C0201                              7.2716    -4.8991   45.0000  top
C234         1pF                                  C0201                              7.1193    -4.8809  135.0000  top
C235         100pF                                C0201                             10.2301    -2.0521  -135.0000  top
C236         0.1uF                                C0201                              9.0268    -2.0596  135.0000  top
C237         100pF                                C0201                             10.3058    -2.0147   45.0000  top
C238         0.1uF                                C0201                             10.2874    -1.9950   45.0000  top
C239         1pF                                  C0201                              7.2242    -3.9241  135.0000  top
C240         1pF                                  C0201                              7.1014    -3.8018  135.0000  top
C241         1pF                                  C0201                              7.0701    -3.9639  -135.0000  top
C242         100pF                                C0201                             10.2300    -0.8417  -45.0000  top
C243         0.1uF                                C0201                              5.9903    -3.8163   45.0000  top
C244         100pF                                C0201                             10.1753    -0.7841  135.0000  top
C245         0.1uF                                C0201                              5.9306    -3.8773  -135.0000  top
C246         1pF                                  C0201                              6.1006    -3.8656  -135.0000  top
C247         1pF                                  C0201                              5.9788    -3.9873  -135.0000  top
C248         1pF                                  C0201                              6.1410    -4.0127  -45.0000  top
C249         100pF                                C0201                             10.2111    -0.8622  -45.0000  top
C250         0.1uF                                C0201                              6.0108    -3.8352   45.0000  top
C251         100pF                                C0201                             10.1548    -0.8030  135.0000  top
C252         0.1uF                                C0201                              5.9495    -3.8938  -135.0000  top
C253         1pF                                  C0201                              6.0555    -4.9775  -45.0000  top
C254         1pF                                  C0201                              6.1783    -5.1004  -45.0000  top
C255         1pF                                  C0201                              6.2075    -4.9324   45.0000  top
C256         100nF                                C0201                              2.5101    -9.1567   90.0000  top
C257         100nF                                C0201                              2.5181    -8.0120   90.0000  top
C258         100nF                                C0402                              5.1571    -8.8560  -90.0000  top
